,image_path,label
0,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_492_0.png,BOE
1,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_151_0.png,BOE
2,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_148_0.png,BOE
3,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_237_0.png,BOE
4,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_442_0.png,BOE
5,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_451_0.png,BOE
6,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_123_1.png,BOE
7,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Accepted_Bill_of_Exchange_304_0.png,BOE
8,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_327_0.png,BOE
9,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Accepted_Bill_of_Exchange_308_1.png,BOE
10,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_80_0.png,BOE
11,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_96_1.png,BOE
12,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_4_0.png,BOE
13,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_243_0.png,BOE
14,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_199_0.png,BOE
15,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_200_0.png,BOE
16,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_88_0.png,BOE
17,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_127_0.png,BOE
18,/New_Volume/trade-finance/final_delivery/classification_training/V2_Final_Training_Data/BOE/Bill_of_Exchange_82_0.png,BOE
