img,label
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_52_1_S_0.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_52_1_S_1.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/AWB/Airway_Bill_546_2.png,3
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_519_page_2_S_0.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_519_page_2_S_1.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_900_page_2_S_0.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_900_page_2_S_1.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_900_page_2_S_2.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CS/Covering_Schedule_846_page_0_S_0.png,8
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CS/Covering_Schedule_846_page_0_S_1.png,8
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOE/Accepted_Bill_of_Exchange_313_1.png,1
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/PL/Packing_List_813_page_0.png,5
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/OTHERS/Covering_Schedule_118_page_1.png,0
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOE/Bill_of_Exchange_390_0_S_0.png,1
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOE/Bill_of_Exchange_390_0_S_1.png,1
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/OTHERS/Certificate_Of_Origin_977_page_3.png,0
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_687_page_0_S_0.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/IC/Insurance_Certificate_687_page_0_S_1.png,4
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_450_page_0_S_0.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_450_page_0_S_1.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_450_page_0_S_2.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_157_0_S_0.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_157_0_S_1.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/CI/Invoice_157_0_S_2.png,6
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_193_page_0_S_0.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_193_page_0_S_1.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOL/Bill_Of_Landing_193_page_0_S_2.png,2
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/COO/Certificate_Of_Origin_301_page_1_S_0.png,7
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/COO/Certificate_Of_Origin_301_page_1_S_1.png,7
/home/ntlpt19/Downloads/Classification_final_training/V3_ROOT/test/BOE/Accepted_Bill_of_Exchange_498_2.png,1
