img,label
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_By_Opener_154_1.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Insurance_Certificate_21_page_4.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PI/Proforma_Invoice_520_0.png,1
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_517_4.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Packing_List_978_page_7.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_123_page_0.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PI/Proforma_Invoice_476_2.png,1
/home/data_science/geo_testing/Classification_root/LC_org/LC/PI/Proforma_Invoice_164_0.png,1
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_By_Opener_377_0.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Bill_Of_Landing_416_page_3.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_247_0.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_453_3.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_By_Opener_68_0.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_274_page_0.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Certificate_Of_Origin_623_page_12.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_By_Opener_560_1.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_61_0.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_38_page_4.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_408_0.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/PI/Proforma_Invoice_451_0.png,1
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_616_page_0.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_164_4.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_73_page_0.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PI/Proforma_Invoice_272_0.png,1
/home/data_science/geo_testing/Classification_root/LC_org/LC/PI/Proforma_Invoice_201_1.png,1
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Packing_List_417_page_1.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_708_page_0.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Certificate_Of_Origin_756_page_3.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Packing_List_392_page_302.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Packing_List_568_page_25.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Bill_Of_Landing_383_page_2.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Covering_Schedule_397_page_1.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Insurance_Certificate_31_page_1.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Certificate_Of_Origin_778_page_3.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/PO/Purchase_Order_By_Opener_541_0.png,0
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Insurance_Certificate_0_page_12.png,2
/home/data_science/geo_testing/Classification_root/LC_org/LC/OTHERS/Certificate_Of_Origin_552_page_1.png,2
